"BehaviorSpace results (NetLogo 6.2.0)"
"abm_household_individual_levels.nlogo"
"experiment_inequality_a"
"04/05/2021 10:12:11:942 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-100","100","-100","100"
"[run number]","change_inequality","homogeneity_mode","inequality_distribution_mode","scaling_param_migration","deforestation_per_step_worker_ha","internal_validation_mode","export_sim_csv_files","desired_gini_level","remittances_usage_scaling_param","probability_remittances_agriculture_invest","time_frame","[step]","((sum [agriculture_land] of households) - t_0_land_amount ) / t_0_land_amount","gini-index-reserve","global_abandoned_land","count individuals with [member_migrated = TRUE] / count individuals","sum [workers] of households","global_deforested_land","global_household_index"
"8","off","off","relative","1.2","0.03","off","true","16","0.8","0.05","empirical_data","5","0.06120116375727294","34.0508719823319","59.190000000000396","0.29315756434400503","748","112.20000000000152","1000"
"7","off","off","relative","1.2","0.03","off","true","16","0.8","0.05","empirical_data","5","0.05849958437240135","34.219353642441874","59.61000000000034","0.2962962962962963","734","110.2800000000015","1000"
"4","off","off","relative","1.2","0.03","off","true","16","0.8","0.05","empirical_data","5","0.0604045441950669","34.01918386900097","58.62000000000044","0.29817953546767106","732","110.94000000000132","1000"
"1","off","off","relative","1.2","0.03","off","true","16","0.8","0.05","empirical_data","5","0.06511499030202243","33.81058142559834","56.730000000000366","0.2862523540489642","742","113.13000000000142","1000"
"3","off","off","relative","1.2","0.03","off","true","16","0.8","0.05","empirical_data","5","0.05655998891659609","34.05325902857454","60.870000000000374","0.30947897049591966","725","109.86000000000138","1000"
"8","off","off","relative","1.2","0.03","off","true","16","0.8","0.05","empirical_data","6","0.07062205597118336","34.23510508664659","73.38000000000072","0.3107344632768362","745","134.55000000000217","1000"
"7","off","off","relative","1.2","0.03","off","true","16","0.8","0.05","empirical_data","6","0.06764339152119704","34.43619356582861","73.92000000000068","0.3126177024482109","741","132.51000000000212","1000"
"6","off","off","relative","1.2","0.03","off","true","16","0.8","0.05","empirical_data","6","0.0697908007758385","33.78737548699015","72.24000000000062","0.3157564344005022","741","132.6900000000021","1000"
"5","off","off","relative","1.2","0.03","off","true","16","0.8","0.05","empirical_data","6","0.06833610418398481","34.18904198411408","72.90000000000067","0.31889516635279347","723","132.090000000002","1000"
"1","off","off","relative","1.2","0.03","off","true","16","0.8","0.05","empirical_data","6","0.07588667220836838","33.94995117449481","70.20000000000063","0.30257376020087884","760","135.93000000000205","1000"
"2","off","off","relative","1.2","0.03","off","true","16","0.8","0.05","empirical_data","6","0.07169576059850323","34.29687802986231","72.57000000000065","0.3101067168863779","751","134.67000000000206","1000"
"4","off","off","relative","1.2","0.03","off","true","16","0.8","0.05","empirical_data","6","0.06961762261014126","34.13781490836085","72.54000000000073","0.31512868801004396","730","132.840000000002","1000"
"3","off","off","relative","1.2","0.03","off","true","16","0.8","0.05","empirical_data","6","0.06452618453865282","34.30341087793501","75.81000000000077","0.3239171374764595","728","131.70000000000195","1000"
"7","off","off","relative","1.2","0.03","off","true","16","0.8","0.05","empirical_data","7","0.07633693543917995","34.69318230574505","88.56000000000107","0.3258003766478343","739","154.68000000000296","1000"
"8","off","off","relative","1.2","0.03","off","true","16","0.8","0.05","empirical_data","7","0.07914242172346879","34.469225749162824","88.41000000000115","0.3283113622096673","747","156.96000000000302","1000"
"5","off","off","relative","1.2","0.03","off","true","16","0.8","0.05","empirical_data","7","0.07619839290662232","34.41823292138688","88.20000000000107","0.33458882611424984","737","154.20000000000283","1000"
"1","off","off","relative","1.2","0.03","off","true","16","0.8","0.05","empirical_data","7","0.08520365752285934","34.088897399889326","84.39000000000104","0.31952291274325173","742","158.1900000000029","1000"
"4","off","off","relative","1.2","0.03","off","true","16","0.8","0.05","empirical_data","7","0.07806871709614827","34.291738953500804","87.33000000000112","0.3295668549905838","737","154.95000000000283","1000"
"2","off","off","relative","1.2","0.03","off","true","16","0.8","0.05","empirical_data","7","0.07980049875311708","34.59325549568043","87.66000000000102","0.3270558694287508","737","156.7800000000029","1000"
"3","off","off","relative","1.2","0.03","off","true","16","0.8","0.05","empirical_data","7","0.072111388196176","34.60442376860285","91.44000000000122","0.33835530445699935","740","153.9000000000028","1000"
"6","off","off","relative","1.2","0.03","off","true","16","0.8","0.05","empirical_data","7","0.07772236076475444","33.96531259373524","87.270000000001","0.3314500941619586","730","154.59000000000293","1000"
"7","off","off","relative","1.2","0.03","off","true","16","0.8","0.05","empirical_data","8","0.08444167359379354","35.02886191844992","103.83000000000148","0.3433772755806654","743","176.9700000000038","1000"
"8","off","off","relative","1.2","0.03","off","true","16","0.8","0.05","empirical_data","8","0.08707398171238565","34.694301068416884","103.5600000000016","0.34400502197112365","734","178.98000000000386","1000"
"5","off","off","relative","1.2","0.03","off","true","16","0.8","0.05","empirical_data","8","0.08354114713216998","34.67036397732601","103.80000000000148","0.35153797865662273","732","176.16000000000366","1000"
"1","off","off","relative","1.2","0.03","off","true","16","0.8","0.05","empirical_data","8","0.09393183707398199","34.27041117865586","99.33000000000146","0.33772755806654114","750","180.69000000000375","1000"
"4","off","off","relative","1.2","0.03","off","true","16","0.8","0.05","empirical_data","8","0.08662371848157434","34.50692208799498","102.12000000000154","0.34400502197112365","740","177.15000000000367","1000"
"2","off","off","relative","1.2","0.03","off","true","16","0.8","0.05","empirical_data","8","0.08717788861180341","34.902641052598014","103.32000000000139","0.3433772755806654","735","178.83000000000374","1000"
