"BehaviorSpace results (NetLogo 6.2.0)"
"abm_household_individual_levels.nlogo"
"gini_phase_diagram"
"04/06/2021 23:19:22:420 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-100","100","-100","100"
"[run number]","change_inequality","homogeneity_mode","deforestation_per_step_worker_ha","scaling_param_migration","inequality_distribution_mode","internal_validation_mode","mig_coeff_sna_input","mig_coeff_age_input","desired_gini_level","export_sim_csv_files","remittances_usage_scaling_param","probability_remittances_agriculture_invest","time_frame","[step]","((sum [agriculture_land] of households) - t_0_land_amount ) / t_0_land_amount","gini-index-reserve","gini-index-reserve-relative","global_abandoned_land","count individuals with [member_migrated = TRUE] / count individuals","sum [workers] of households","global_deforested_land","global_household_index"
"6","on","off","0.03","1.2","relative","off","0.6","0","5","false","0.8","0.05","empirical_data","6","0.07554031587697443","33.062473835056146","14.897427839869794","69.75000000000067","0.2950408035153798","764","135.18000000000205","1000"
"8","on","off","0.03","1.2","relative","off","0.6","0","5","false","0.8","0.05","empirical_data","5","0.06431837073981729","32.48587110980938","12.776221760583294","55.740000000000286","0.2749529190207156","763","111.45000000000144","1000"
"2","on","off","0.03","1.2","relative","off","0.6","0","5","false","0.8","0.05","empirical_data","6","0.07529786644499892","33.370675771435906","16.453927539013716","69.60000000000062","0.29252981795354677","769","134.82000000000204","1000"
"5","on","off","0.03","1.2","relative","off","0.6","0","5","false","0.8","0.05","empirical_data","6","0.07647547797173732","33.2886207636207","16.373163003700604","68.79000000000046","0.2937853107344633","759","135.03000000000208","1000"
"7","on","off","0.03","1.2","relative","off","0.6","0","5","false","0.8","0.05","empirical_data","4","0.04942504848988619","31.93875485439559","12.21242345375841","44.970000000000184","0.2768361581920904","730","87.78000000000092","1000"
"1","on","off","0.03","1.2","relative","off","0.6","0","5","false","0.8","0.05","empirical_data","5","0.059434746467165706","32.506189791203475","14.314262001769837","57.96000000000036","0.2950408035153798","732","109.44000000000138","1000"
"3","on","off","0.03","1.2","relative","off","0.6","0","5","false","0.8","0.05","empirical_data","4","0.052923247436963444","31.97017543859642","11.36835640261584","43.32000000000021","0.26114249843063403","755","89.16000000000084","1000"
"6","on","off","0.03","1.2","relative","off","0.6","0","5","false","0.8","0.05","empirical_data","7","0.08586173455250735","33.65911773149174","16.62040546058067","83.790000000001","0.3088512241054614","766","158.16000000000292","1000"
"4","on","off","0.03","1.2","relative","off","0.6","0","5","false","0.8","0.05","empirical_data","5","0.06698531449154888","32.755567097318654","12.633948446845123","54.63000000000032","0.2655367231638418","764","112.65000000000151","1000"
"8","on","off","0.03","1.2","relative","off","0.6","0","5","false","0.8","0.05","empirical_data","6","0.07585203657522903","33.07010709763266","14.552265718423095","68.70000000000054","0.290646578782172","765","134.40000000000205","1000"
"5","on","off","0.03","1.2","relative","off","0.6","0","5","false","0.8","0.05","empirical_data","7","0.08641590468273748","33.91229636241908","18.210407798103276","82.86000000000082","0.31198995605775265","756","157.71000000000294","1000"
"7","on","off","0.03","1.2","relative","off","0.6","0","5","false","0.8","0.05","empirical_data","5","0.05891521197007477","32.59730263086158","15.088290663183159","58.65000000000037","0.2950408035153798","730","109.68000000000151","1000"
"2","on","off","0.03","1.2","relative","off","0.6","0","5","false","0.8","0.05","empirical_data","7","0.0864851759490171","33.99106336404301","17.376442032392845","83.25000000000098","0.3032015065913371","778","158.16000000000292","1000"
"1","on","off","0.03","1.2","relative","off","0.6","0","5","false","0.8","0.05","empirical_data","6","0.06906345247991126","33.07814423637657","15.400733283475827","71.91000000000064","0.3113622096672944","743","131.73000000000198","1000"
"3","on","off","0.03","1.2","relative","off","0.6","0","5","false","0.8","0.05","empirical_data","5","0.06445691327237453","32.61680712372146","12.96758373938875","55.890000000000406","0.27369742623979915","752","111.72000000000142","1000"
