"BehaviorSpace results (NetLogo 6.2.0)"
"abm_household_individual_levels.nlogo"
"experiment_inequality_b"
"04/05/2021 10:17:50:574 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-100","100","-100","100"
"[run number]","change_inequality","homogeneity_mode","inequality_distribution_mode","scaling_param_migration","deforestation_per_step_worker_ha","internal_validation_mode","export_sim_csv_files","desired_gini_level","remittances_usage_scaling_param","probability_remittances_agriculture_invest","time_frame","[step]","((sum [agriculture_land] of households) - t_0_land_amount ) / t_0_land_amount","gini-index-reserve","global_abandoned_land","count individuals with [member_migrated = TRUE] / count individuals","sum [workers] of households","global_deforested_land","global_household_index"
"2","off","on","relative","1.2","0.03","off","true","16","0.8","0.05","empirical_data","7","0.07418215638445803","8.609270465279534","89.16000000000109","0.3283113622096673","721","150.090000000003","1000"
"4","off","on","relative","1.2","0.03","off","true","16","0.8","0.05","empirical_data","7","0.07226215640724411","8.455461745869234","87.96000000000109","0.3339610797237916","705","150.66000000000295","1000"
"6","off","on","relative","1.2","0.03","off","true","16","0.8","0.05","empirical_data","7","0.07296250723892324","8.381792997066935","86.40000000000106","0.3314500941619586","709","150.63000000000284","1000"
"7","off","on","relative","1.2","0.03","off","true","16","0.8","0.05","empirical_data","7","0.057495664665985456","8.949229462325048","86.91000000000105","0.33207784055241685","712","150.60000000000284","1000"
"3","off","on","relative","1.2","0.03","off","true","16","0.8","0.05","empirical_data","8","0.07232448645332684","9.85359659678449","100.50000000000142","0.34149403640929066","712","172.44000000000372","1000"
"1","off","on","relative","1.2","0.03","off","true","16","0.8","0.05","empirical_data","8","0.049853796941668166","10.293003357422238","100.89000000000142","0.32893910860012554","740","175.92000000000382","1000"
"5","off","on","relative","1.2","0.03","off","true","16","0.8","0.05","empirical_data","8","0.09798476602365823","9.709072405316153","100.23000000000145","0.33584431889516636","731","174.75000000000378","1000"
"2","off","on","relative","1.2","0.03","off","true","16","0.8","0.05","empirical_data","8","0.08086683358035714","9.629220910434183","104.67000000000152","0.3446327683615819","710","171.3900000000038","1000"
"4","off","on","relative","1.2","0.03","off","true","16","0.8","0.05","empirical_data","8","0.07863511290488887","9.456783157690074","103.59000000000152","0.352165725047081","705","171.81000000000375","1000"
"8","off","on","relative","1.2","0.03","off","true","16","0.8","0.05","empirical_data","8","0.07759761901682156","9.767270716320729","103.62000000000165","0.34714375392341495","709","171.69000000000378","1000"
"7","off","on","relative","1.2","0.03","off","true","16","0.8","0.05","empirical_data","8","0.06456133382641718","10.072816725740024","102.12000000000144","0.34526051475204017","711","171.93000000000364","1000"
"6","off","on","relative","1.2","0.03","off","true","16","0.8","0.05","empirical_data","8","0.08027062583133077","9.39721715299574","101.31000000000144","0.3446327683615819","708","171.87000000000364","1000"
"3","off","on","relative","1.2","0.03","off","true","16","0.8","0.05","empirical_data","9","0.07952869814631608","10.915466524325437","115.89000000000182","0.3578154425612053","721","194.07000000000454","1000"
"4","off","on","relative","1.2","0.03","off","true","16","0.8","0.05","empirical_data","9","0.08396900040835217","10.428016683612372","120.06000000000198","0.37350910232266166","703","192.90000000000455","1000"
"5","off","on","relative","1.2","0.03","off","true","16","0.8","0.05","empirical_data","9","0.10508507081723023","10.764138618414433","116.0700000000019","0.35153797865662273","733","196.7400000000046","1000"
"1","off","on","relative","1.2","0.03","off","true","16","0.8","0.05","empirical_data","9","0.057612178764888056","11.420778951826133","116.34000000000188","0.34400502197112365","739","198.09000000000466","1000"
"2","off","on","relative","1.2","0.03","off","true","16","0.8","0.05","empirical_data","9","0.08613144981754214","10.634735645555253","121.29000000000198","0.36409290646578785","706","192.5700000000046","1000"
"8","off","on","relative","1.2","0.03","off","true","16","0.8","0.05","empirical_data","9","0.08358958354993394","10.839491148138565","119.9700000000021","0.36472065285624605","718","193.2300000000046","1000"
"6","off","on","relative","1.2","0.03","off","true","16","0.8","0.05","empirical_data","9","0.08695530302722934","10.382231410419783","116.94000000000186","0.357187696170747","714","193.29000000000445","1000"
"3","off","on","relative","1.2","0.03","off","true","16","0.8","0.05","empirical_data","10","0.08635191787477241","11.894537782168307","131.55000000000229","0.3728813559322034","719","215.64000000000536","1000"
"7","off","on","relative","1.2","0.03","off","true","16","0.8","0.05","empirical_data","9","0.07069184089208667","11.142841244973935","118.35000000000186","0.3634651600753296","718","193.47000000000446","1000"
"5","off","on","relative","1.2","0.03","off","true","16","0.8","0.05","empirical_data","10","0.11062677211952945","11.8238101395926","132.9600000000024","0.3697426239799121","723","218.43000000000544","1000"
"4","off","on","relative","1.2","0.03","off","true","16","0.8","0.05","empirical_data","10","0.08798673385251955","11.42041587322718","137.37000000000256","0.39045825486503455","693","213.69000000000534","1000"
"1","off","on","relative","1.2","0.03","off","true","16","0.8","0.05","empirical_data","10","0.06429685596078716","12.51770054174086","132.6300000000024","0.3603264281230383","736","220.1700000000055","1000"
"3","off","on","relative","1.2","0.03","off","true","16","0.8","0.05","empirical_data","11","0.0919628904433515","12.920396160709894","148.35000000000292","0.39108600125549275","722","237.30000000000618","1000"
"2","off","on","relative","1.2","0.03","off","true","16","0.8","0.05","empirical_data","10","0.09143070168786677","11.603995829251417","138.30000000000254","0.3766478342749529","720","214.17000000000542","1000"
"8","off","on","relative","1.2","0.03","off","true","16","0.8","0.05","empirical_data","10","0.08861175035514304","11.888644005755662","136.80000000000263","0.384180790960452","706","214.4100000000054","1000"
"6","off","on","relative","1.2","0.03","off","true","16","0.8","0.05","empirical_data","10","0.09346680205743264","11.31899077105248","132.96000000000234","0.3716258631512869","722","214.95000000000528","1000"
"7","off","on","relative","1.2","0.03","off","true","16","0.8","0.05","empirical_data","10","0.07522910883334406","12.190715282320538","135.3900000000024","0.384180790960452","699","214.44000000000526","1000"
"5","off","on","relative","1.2","0.03","off","true","16","0.8","0.05","empirical_data","11","0.11596065962299262","12.849272686270535","150.27000000000305","0.38480853735091025","731","240.36000000000627","1000"
"4","off","on","relative","1.2","0.03","off","true","16","0.8","0.05","empirical_data","11","0.09093076266936562","12.474622830413406","155.97000000000327","0.40426867545511613","705","234.84000000000614","1000"
"1","off","on","relative","1.2","0.03","off","true","16","0.8","0.05","empirical_data","11","0.07181278835203152","13.543236416811279","148.92000000000303","0.3728813559322034","760","242.97000000000637","1000"
"3","off","on","relative","1.2","0.03","off","true","16","0.8","0.05","empirical_data","12","0.09653479401774889","13.9037515175859","165.72000000000358","0.4086629001883239","711","258.6300000000066","1000"
"8","off","on","relative","1.2","0.03","off","true","16","0.8","0.05","empirical_data","11","0.09280266196500647","12.901822498241343","154.4400000000033","0.4067796610169492","709","235.6800000000062","1000"
"2","off","on","relative","1.2","0.03","off","true","16","0.8","0.05","empirical_data","11","0.09565624893087046","12.5906933682375","156.12000000000322","0.3954802259887006","716","235.65000000000623","1000"
"7","off","on","relative","1.2","0.03","off","true","16","0.8","0.05","empirical_data","11","0.07942002044320776","13.263793243036925","153.27000000000308","0.4017576898932831","717","235.95000000000607","1000"
"6","off","on","relative","1.2","0.03","off","true","16","0.8","0.05","empirical_data","11","0.09935485969112542","12.27663653373248","149.76000000000298","0.38480853735091025","730","236.8500000000061","1000"
"5","off","on","relative","1.2","0.03","off","true","16","0.8","0.05","empirical_data","12","0.12011693559971856","13.966422198459183","168.69000000000375","0.39861895794099184","734","262.3800000000063","1000"
"4","off","on","relative","1.2","0.03","off","true","16","0.8","0.05","empirical_data","12","0.09345916388854088","13.450874345642745","174.57000000000397","0.4218455743879473","693","255.63000000000693","1000"
"3","off","on","relative","1.2","0.03","off","true","16","0.8","0.05","empirical_data","13","0.10017153549738259","14.891168360142144","183.72000000000426","0.4218455743879473","705","279.7800000000042","1000"
"8","off","on","relative","1.2","0.03","off","true","16","0.8","0.05","empirical_data","12","0.09598914021382886","13.881299540877757","172.56000000000398","0.42247332077840555","696","256.5600000000068","1000"
"1","off","on","relative","1.2","0.03","off","true","16","0.8","0.05","empirical_data","12","0.07728521838805272","14.590068669018097","166.2900000000037","0.39296924042686754","737","265.08000000000584","1000"
"2","off","on","relative","1.2","0.03","off","true","16","0.8","0.05","empirical_data","12","0.09936226167678258","13.555737961505658","174.3900000000039","0.40929064657878217","716","257.1300000000069","1000"
"7","off","on","relative","1.2","0.03","off","true","16","0.8","0.05","empirical_data","12","0.08239868489319448","14.357673473684205","171.90000000000379","0.4180790960451977","707","257.16000000000673","1000"
"6","off","on","relative","1.2","0.03","off","true","16","0.8","0.05","empirical_data","12","0.10448093339575412","13.269203295759278","167.34000000000364","0.3973634651600753","734","258.87000000000654","1000"
"5","off","on","relative","1.2","0.03","off","true","16","0.8","0.05","empirical_data","13","0.12316487131598304","15.017102338879813","187.50000000000446","0.4174513496547395","715","283.830000000004","1000"
