"BehaviorSpace results (NetLogo 6.2.0)"
"abm_household_individual_levels.nlogo"
"different_gini_levels_total"
"04/06/2021 18:28:59:335 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-100","100","-100","100"
"[run number]","change_inequality","homogeneity_mode","inequality_distribution_mode","scaling_param_migration","deforestation_per_step_worker_ha","internal_validation_mode","export_sim_csv_files","desired_gini_level","remittances_usage_scaling_param","probability_remittances_agriculture_invest","time_frame","[step]","((sum [agriculture_land] of households) - t_0_land_amount ) / t_0_land_amount","gini-index-reserve","global_abandoned_land","count individuals with [member_migrated = TRUE] / count individuals","sum [workers] of households","global_deforested_land","global_household_index"
"4","on","off","total","1.2","0.03","off","false","5","0.8","0.05","empirical_data","6","0.0683361041839848","9.553336575349869","71.91000000000068","0.29817953546767106","730","131.10000000000218","1000"
"5","on","off","total","1.2","0.03","off","false","5","0.8","0.05","empirical_data","6","0.07103768356885666","9.781230799081634","70.6200000000007","0.29252981795354677","741","132.15000000000208","1000"
"7","on","off","total","1.2","0.03","off","false","5","0.8","0.05","empirical_data","7","0.07883070102521522","10.50195839219216","85.08000000000105","0.3113622096672944","734","153.360000000003","1000"
"8","on","off","total","1.2","0.03","off","false","5","0.8","0.05","empirical_data","7","0.08146300914380747","10.422175249807898","84.03000000000108","0.3107344632768362","744","154.590000000003","1000"
"3","on","off","total","1.2","0.03","off","false","5","0.8","0.05","empirical_data","7","0.08412995289553997","10.511006038145775","83.1000000000009","0.3013182674199623","755","155.97000000000304","1000"
"1","on","off","total","1.2","0.03","off","false","5","0.8","0.05","empirical_data","7","0.08288307010252181","10.555658617197109","84.03000000000094","0.3075957313245449","741","155.820000000003","1000"
"2","on","off","total","1.2","0.03","off","false","5","0.8","0.05","empirical_data","7","0.08277916320310366","10.06256797389806","82.95000000000097","0.322661644695543","731","154.650000000003","1000"
"6","on","off","total","1.2","0.03","off","false","5","0.8","0.05","empirical_data","6","0.07093377666943824","9.560058214747764","70.71000000000065","0.2962962962962963","736","132.15000000000225","1000"
"4","on","off","total","1.2","0.03","off","false","5","0.8","0.05","empirical_data","7","0.07671792740371364","10.477487910273359","86.43000000000107","0.31763967357187695","726","152.880000000003","1000"
"7","on","off","total","1.2","0.03","off","false","5","0.8","0.05","empirical_data","8","0.08825159323912551","11.392435815828605","99.06000000000142","0.325172630257376","738","175.50000000000384","1000"
"5","on","off","total","1.2","0.03","off","false","5","0.8","0.05","empirical_data","7","0.08094347464671722","10.79838080895472","84.54000000000109","0.3050847457627119","750","154.65000000000293","1000"
"8","on","off","total","1.2","0.03","off","false","5","0.8","0.05","empirical_data","8","0.08946384039900354","11.342150161606542","99.12000000000153","0.33019460138104206","734","176.61000000000382","1000"
"3","on","off","total","1.2","0.03","off","false","5","0.8","0.05","empirical_data","8","0.09389720144084263","11.412795913413309","97.32000000000133","0.3170119271814187","756","178.6500000000039","1000"
"2","on","off","total","1.2","0.03","off","false","5","0.8","0.05","empirical_data","8","0.09147270712108736","10.81347380446167","97.20000000000137","0.3370998116760829","726","176.43000000000382","1000"
